arm,ms,DNb05_delta_used,PN_target_L_R,OFFLINE_rebased_command_integral_deg,theta_deg,theta_minus_sham_deg,theta_minus_uniform_deg,command_deg,command_minus_sham_deg,command_minus_uniform_deg,residual_deg,residual_minus_sham_deg,residual_minus_uniform_deg
sham,250,0.00043095234621837175,0.025351952407648592,-0.018158706617209128,0.06797011255253693,0.0,-0.00040117531616701285,0.07056071921328169,0.0,-0.00014261270618000366,-0.0025906066607447598,0.0,-0.0002585626099870092
odor_left,250,0.00044500475086772795,0.048021886655176926,0.014624683488277323,0.10048607764199957,0.03251596508946264,0.03211478977329563,0.10323446272988354,0.03267374351660185,0.032531130810421846,-0.00274838508788397,-0.0001577784271392102,-0.0004163410371262194
odor_right,250,7.248920901814504e-05,-0.011489380721475984,-0.06367452204830694,0.023046530615957295,-0.04492358193657964,-0.04532475725274665,0.025079884255099542,-0.04548083495818215,-0.04562344766436215,-0.0020333536391422477,0.0005572530216025121,0.00029869041161550286
uniform,250,0.00016985562072358018,0.009537202509024456,-0.017984426491836986,0.06837128786870394,0.00040117531616701285,0.0,0.0707033319194617,0.00014261270618000366,0.0,-0.0023320440507577506,0.0002585626099870092,0.0
sham,275,0.00041497563831038864,0.025625282580932773,-0.013289843089579775,0.08141882676305201,0.0,0.00636553601574974,0.08426307422654986,0.0,0.006553699247342351,-0.0028442474634978454,0.0,-0.00018816323159261128
odor_left,275,0.0004894867334737096,0.04826503725944897,0.020838870733765936,0.11519519631575292,0.03377636955270091,0.04014190556845065,0.11826691195949328,0.03400383773294342,0.040557536980285774,-0.0030717156437403553,-0.00022746818024250992,-0.0004156314118351212
odor_right,275,0.00010099234329552509,-0.011021255497752458,-0.06934913137593966,0.025997290557373987,-0.055421536205678024,-0.049056000189928284,0.02828695976174427,-0.05597611446480559,-0.04942241521746324,-0.0022896692043702822,0.0005545782591275632,0.0003664150275349519
uniform,275,0.00024692470346587836,0.009862802400136261,-0.01985694795052021,0.07505329074730227,-0.00636553601574974,0.0,0.0777093749792075,-0.006553699247342351,0.0,-0.002656084231905234,0.00018816323159261128,0.0
sham,300,0.0002209925503039445,0.025773228428930484,-0.012222424958674077,0.09130664901019614,0.0,0.009757155772419424,0.09419402632035409,0.0,0.009831369853282784,-0.0028873773101579514,0.0,-7.421408086336068e-05
odor_left,300,0.0003821320139121287,0.04821727648068641,0.025584815833842377,0.12862556536074976,0.03731891635055362,0.047076072122973045,0.1318470889273053,0.0376530626069512,0.04748443246023398,-0.0032215235665555286,-0.0003341462563975772,-0.0004083603372609379
odor_right,300,-2.465781072247264e-05,-0.010876533096700114,-0.07702260216941545,0.027123773554244224,-0.06418287545595192,-0.05442571968353249,0.0294893377681833,-0.06470468855217079,-0.05487331869888801,-0.0023655642139390753,0.0005218130962188761,0.0004475990153555154
uniform,300,0.00017679370304868325,0.009805271910226843,-0.022083222089895417,0.08154949323777672,-0.009757155772419424,0.0,0.0843626564670713,-0.009831369853282784,0.0,-0.0028131632292945907,7.421408086336068e-05,0.0
sham,320,0.0001088432856491961,0.0257809109260157,-0.015426334881445888,0.09513569705572777,0.0,0.009585616936430341,0.0980956809657037,0.0,0.00955054772016281,-0.0029599839099759273,0.0,3.5069216267530345e-05
odor_left,320,0.0003446028430765802,0.04788776740416234,0.027391856127043333,0.13734716696044558,0.0422114699047178,0.05179708684114814,0.14073981308549033,0.042644132119786626,0.05219467983994944,-0.0033926461250447515,-0.0004326622150688242,-0.00039759299880129384
odor_right,320,-7.684017609277394e-05,-0.010727903644694892,-0.0855590906504427,0.02556450017566192,-0.06957119688006586,-0.059985579943635514,0.028041118712301097,-0.0700545622534026,-0.060504014533239794,-0.0024766185366391774,0.0004833653733367499,0.0005184345896042802
uniform,320,0.00017016514419176954,0.009930755659856905,-0.025006554846133216,0.08555008011929743,-0.009585616936430341,0.0,0.08854513324554089,-0.00955054772016281,0.0,-0.0029950531262434577,-3.5069216267530345e-05,0.0
sham,350,-9.388203830762443e-05,0.026091948125470166,-0.025222300102488226,0.0959353070992357,0.0,0.004355230259889709,0.098947073215292,0.0,0.00413018914891744,-0.0030117661160563025,0.0,0.0002250411109722683
odor_left,350,0.0002543785358581907,0.04787739890784515,0.02857659285917325,0.14895651935721688,0.053021212257981176,0.057376442517870885,0.15256314012160233,0.05361606690631032,0.05774625605522776,-0.0036066207643854487,-0.0005948546483291461,-0.00036981353735687783
odor_right,350,-0.00018390790462119444,-0.010271326969855776,-0.10048197587447363,0.021129330006729674,-0.07480597709250603,-0.07045074683261632,0.023732861368934995,-0.07521421184635702,-0.07108402269743958,-0.0026035313622053205,0.000408234753850982,0.0006332758648232503
uniform,350,0.0001312872191833181,0.009945239276860529,-0.02939340217700236,0.09158007683934599,-0.004355230259889709,0.0,0.09481688406637456,-0.00413018914891744,0.0,-0.003236807227028571,-0.0002250411109722683,0.0
sham,400,-0.00043419031584046586,0.025079737137967795,-0.0630676194401054,0.07560656367001428,0.0,-0.017716280171988785,0.07861434612711794,0.0,-0.018280738847317193,-0.003007782457103661,0.0,0.0005644586753284081
odor_left,400,8.258200095301316e-05,0.04655930810717401,0.01796521424668052,0.15582336662431118,0.0802168029542969,0.06250052278230811,0.1597124288425969,0.08109808271547896,0.06281734386816176,-0.0038890622182857215,-0.0008812797611820605,-0.00031682108585365243
