Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.0,1700636137,1423,1195106.2,611.0,217,12567100,3369920.0,cudaStreamSynchronize
17.0,384539922,3230,119052.6,15045.5,2357,23096241,1162372.4,cudaMemcpyAsync
7.1,161989115,191,848110.5,787427.0,167485,2839379,480214.0,cudaGraphLaunch_v10000
0.5,12001955,1579,7601.0,4828.0,2339,78244,7724.2,cuLaunchKernel
0.2,4288892,657,6528.0,3212.0,2037,190596,12778.1,cudaEventRecord
0.0,853533,1608,530.8,283.0,136,26791,1269.3,cudaEventQuery
0.0,694603,80,8682.5,4837.0,2405,36462,7350.9,cudaLaunchKernel
0.0,677192,112,6046.4,3663.5,2232,37259,6620.8,cudaMemsetAsync
0.0,676768,2113,320.3,209.0,90,3243,358.2,cudaStreamIsCapturing_v10000
0.0,498143,657,758.2,461.0,222,6780,777.5,cudaEventCreateWithFlags
0.0,405547,657,617.3,373.0,142,4859,726.3,cudaEventDestroy
0.0,6824,1,6824.0,6824.0,6824,6824,0.0,cuProfilerStart
