nivel,grupo,n_L,n_R,n_sin_lado,bilateral_disponible,odor_left,odor_right,uniform,sham,L_sham,R_sham,U_sham,impar,comun,R_uniform,L_uniform
etapa,DNa02,1,1,0,True,-1.5810794624425873e-05,0.01045835099589758,0.004251471751907694,0.00015230469058460884,-0.00016811548520903472,0.01030604630531297,0.0040991670613230845,-0.005237080895261002,0.005068965410051968,0.006206879243989886,-0.00426728254653212
etapa,LAL,2,2,0,True,7.134458226692084e-06,7.134459826471571e-06,7.134459771459111e-06,7.134459219269765e-06,-9.925776809155342e-13,6.072018057898688e-13,5.521893460533399e-13,-7.998897433527015e-13,-1.9268793798634916e-13,5.501245973652891e-14,-1.544767026968874e-12
etapa,MBON,1,1,0,True,-8.091052558142782e-05,-8.090935913954969e-05,-8.090835355886398e-05,-8.091141747238301e-05,8.91890955187491e-10,2.0583328333190513e-09,3.0639135190286323e-09,-5.832209390657802e-10,1.4751118942464949e-09,-1.005580685709581e-09,-2.1720225638411413e-09
etapa,ORN,35,39,0,True,0.4718447067335992,-0.5499508524106581,-5.2415626162982676e-05,0.0004601062757051619,0.47138460045789404,-0.5504109586863632,-0.0005125219018681446,0.5108977795721287,-0.039513179114234624,-0.5498984367844951,0.47189712235976217
etapa,PN,1,1,0,True,0.005912517406036599,-0.002134822562860239,-3.2430254912396705e-05,0.005607134228628463,0.00030538317740813614,-0.007741956791488702,-0.00563956448354086,0.004023669984448419,-0.003718286807040283,-0.0021023923079478424,0.005944947660948996
tipo,ALBN1,0,0,2,False,,,,,,,,,,,
tipo,CB0650,0,0,4,False,,,,,,,,,,,
tipo,CB1048,0,0,8,False,,,,,,,,,,,
tipo,CB1296_a,0,0,5,False,,,,,,,,,,,
tipo,CB1545,0,0,3,False,,,,,,,,,,,
tipo,CB1824,0,0,12,False,,,,,,,,,,,
tipo,CB2004,0,0,6,False,,,,,,,,,,,
tipo,CB2471,0,0,5,False,,,,,,,,,,,
tipo,CB2561,0,0,2,False,,,,,,,,,,,
tipo,CB2589,0,0,6,False,,,,,,,,,,,
tipo,CB2703,0,0,6,False,,,,,,,,,,,
tipo,CB2711,0,0,4,False,,,,,,,,,,,
tipo,CB2772,0,0,2,False,,,,,,,,,,,
tipo,CB2845,0,0,4,False,,,,,,,,,,,
tipo,CB2908,0,0,4,False,,,,,,,,,,,
tipo,CB3007,0,0,4,False,,,,,,,,,,,
tipo,CB3172,0,0,3,False,,,,,,,,,,,
tipo,CB3202,0,0,5,False,,,,,,,,,,,
tipo,CB3228,0,0,3,False,,,,,,,,,,,
tipo,CB3326,0,0,2,False,,,,,,,,,,,
tipo,CB3383,0,0,1,False,,,,,,,,,,,
tipo,CB3417,0,0,10,False,,,,,,,,,,,
tipo,CB3447,0,0,5,False,,,,,,,,,,,
tipo,CB3679,0,0,1,False,,,,,,,,,,,
tipo,CB4083,0,0,15,False,,,,,,,,,,,
tipo,DA1_lPN,0,0,13,False,,,,,,,,,,,
tipo,DA1_vPN,0,0,2,False,,,,,,,,,,,
tipo,DA2_lPN,0,0,10,False,,,,,,,,,,,
tipo,DA3_adPN,0,0,4,False,,,,,,,,,,,
tipo,DA4l_adPN,0,0,2,False,,,,,,,,,,,
tipo,DA4m_adPN,0,0,2,False,,,,,,,,,,,
tipo,DC1_adPN,0,0,2,False,,,,,,,,,,,
tipo,DC2_adPN,0,0,4,False,,,,,,,,,,,
tipo,DC3_adPN,0,0,6,False,,,,,,,,,,,
tipo,DC4_adPN,0,0,2,False,,,,,,,,,,,
tipo,DC4_vPN,0,0,2,False,,,,,,,,,,,
tipo,DL1_adPN,0,0,4,False,,,,,,,,,,,
tipo,DL2d_adPN,0,0,9,False,,,,,,,,,,,
tipo,DL2d_vPN,0,0,4,False,,,,,,,,,,,
tipo,DL2v_adPN,0,0,8,False,,,,,,,,,,,
tipo,DL3_lPN,0,0,11,False,,,,,,,,,,,
tipo,DL4_adPN,0,0,2,False,,,,,,,,,,,
tipo,DL5_adPN,0,0,2,False,,,,,,,,,,,
