bodyId,type,class,instance,rootSide,somaSide,nt_consensus_nt
10013,MBON01,MBON,MBON01(y5B'2a)_R,,R,glutamate
10018,LAL138,,LAL138_L,,L,gaba
10039,VL2a_adPN,ALPN,VL2a_adPN_R,,R,acetylcholine
10043,ER5,CX,ER5_L,,L,gaba
10049,VA7m_lPN,ALPN,VA7m_lPN_L,,L,acetylcholine
10075,DA1_lPN,ALPN,DA1_lPN_L,,L,acetylcholine
10079,MBON06,MBON,MBON06(B1>a)_R,,R,glutamate
10084,DP1m_adPN,ALPN,DP1m_adPN_R,,R,acetylcholine
10096,lLN2F_a,ALLN,lLN2F_a(Full)_L,,L,unclear
10099,ExR6,CX,ExR6_R,,R,glutamate
10111,DM3_adPN,ALPN,DM3_adPN_L,,L,acetylcholine
10126,DP1m_adPN,ALPN,DP1m_adPN_L,,L,acetylcholine
10133,lLN2F_b,ALLN,lLN2F_b(Full)_L,,L,gaba
10134,VL2a_adPN,ALPN,VL2a_adPN_L,,L,acetylcholine
10140,lLN1_bc,ALLN,lLN1_bc_R,,R,acetylcholine
10147,LHAD1g1,,LHAD1g1_L,,L,gaba
10169,lLN2F_b,ALLN,lLN2F_b(Full)_R,,R,gaba
10176,DM1_lPN,ALPN,DM1_lPN_R,,R,acetylcholine
10198,VA7l_adPN,ALPN,VA7l_adPN_R,,R,acetylcholine
10201,lLN2T_c,ALLN,lLN2T_c(Tortuous)_R,,R,acetylcholine
10208,DM1_lPN,ALPN,DM1_lPN_L,,L,acetylcholine
10209,LHPV12a1,,LHPV12a1_R,,R,gaba
10210,LAL074,,LAL074_R,,R,glutamate
10254,lLN2F_a,ALLN,lLN2F_a(Full)_R,,R,unclear
10262,V_ilPN,ALPN,V_ilPN_L,,L,acetylcholine
10267,MBON14,MBON,MBON14(a3)_R,,R,acetylcholine
10290,LAL138,,LAL138_R,,R,gaba
10297,LHAD1g1,,LHAD1g1_R,,R,gaba
10305,LHPV12a1,,LHPV12a1_L,,L,gaba
10321,VL2p_adPN,ALPN,VL2p_adPN_L,,L,acetylcholine
10324,ExR1,CX,ExR1_R,,R,acetylcholine
10347,LHPV6q1,,LHPV6q1_L,,L,unclear
10356,LHPV5e3,,LHPV5e3_L,,L,acetylcholine
10359,DL1_adPN,ALPN,DL1_adPN_L,,L,acetylcholine
10360,DNa02,,DNa02_R,,R,acetylcholine
10369,LAL198,,LAL198_L,,L,acetylcholine
10376,lLN2F_b,ALLN,lLN2F_b(Full)_L,,L,gaba
10390,VA2_adPN,ALPN,VA2_adPN_R,,R,acetylcholine
10396,FB2F_a,CX,FB2F_a_L,,L,glutamate
10397,lLN2T_a,ALLN,lLN2T_a(Tortuous)_L,,L,acetylcholine
10402,MZ_lv2PN,ALPN,MZ_lv2PN_R,,R,gaba
10408,VP1d+VP4_l2PN2,ALPN,VP1d+VP4_l2PN2_R,,R,acetylcholine
10423,DP1l_adPN,ALPN,DP1l_adPN_R,,R,acetylcholine
10429,VM6_adPN,ALPN,VM6_adPN_L,,L,acetylcholine
10453,FB6A_a,CX,FB6A_a_L,,L,glutamate
10456,lLN2F_a,ALLN,lLN2F_a(Full)_R,,R,unclear
10459,lLN2F_a,ALLN,lLN2F_a(Full)_L,,L,unclear
10463,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
10470,DC1_adPN,ALPN,DC1_adPN_L,,L,acetylcholine
10472,MZ_lv2PN,ALPN,MZ_lv2PN_L,,L,gaba
10473,il3LN6,ALLN,il3LN6_R,,R,gaba
10486,LHPV10b1,,LHPV10b1_R,,R,acetylcholine
10495,MBON05,MBON,MBON05(y4>y1y2)_R,,R,glutamate
10513,Delta7,CX,Delta7(PB15)_L3R6_R,,R,glutamate
10514,FB6A_c,CX,FB6A_c_R,,R,glutamate
10515,lLN2F_b,ALLN,lLN2F_b(Full)_R,,R,gaba
10517,LAL124,,LAL124_R,,R,glutamate
10522,VL2p_adPN,ALPN,VL2p_adPN_R,,R,acetylcholine
10524,DP1l_adPN,ALPN,DP1l_adPN_L,,L,acetylcholine
10530,VL1_ilPN,ALPN,VL1_ilPN_L,,L,acetylcholine
10537,LNO2,CX,LNO2_R,,R,glutamate
10539,EPG,CX,EPG(PB08)_R2,,R,acetylcholine
10546,LAL125,,LAL125_R,,R,glutamate
10561,VA2_adPN,ALPN,VA2_adPN_L,,L,acetylcholine
10567,M_l2PNl20,ALPN,M_l2PNl20_R,,R,acetylcholine
10568,FB4L,CX,FB4L_R,,R,dopamine
10569,DC1_adPN,ALPN,DC1_adPN_R,,R,acetylcholine
10599,MBON35,MBON,MBON35(y2)_L,,L,acetylcholine
10606,LAL125,,LAL125_L,,L,glutamate
10613,DM4_adPN,ALPN,DM4_adPN_R,,R,acetylcholine
10622,v2LN5,ALLN,v2LN5_R,,R,acetylcholine
10624,ExR5,CX,ExR5_R,,R,glutamate
10632,lLN1_bc,ALLN,lLN1_bc_L,,L,acetylcholine
10647,lLN8,ALLN,lLN8_R,,R,gaba
10650,lLN2T_c,ALLN,lLN2T_c(Tortuous)_R,,R,acetylcholine
10653,VA5_lPN,ALPN,VA5_lPN_L,,L,acetylcholine
10670,DM4_adPN,ALPN,DM4_adPN_L,,L,acetylcholine
10678,LHCENT11,,LHCENT11_L,,L,acetylcholine
