group,time_ms,n_L,n_R,n_unknown,L_minus_R_sham,L_minus_R_odor_left,L_minus_R_odor_right,L_minus_R_uniform,anti_odor_LminusR,common_odor_LminusR_vs_sham,uniform_LminusR_vs_sham,left_side_anti_odor,right_side_anti_odor
ORN,0,883,1343,409,-0.033721319242431214,-0.033721319242431214,-0.033721319242431214,-0.033721319242431214,0,0,0,0,0
ORN,1,883,1343,409,-0.0319467361106332,-0.0319467361106332,-0.0319467361106332,-0.0319467361106332,0,0,0,0,0
ORN,20,883,1343,409,-0.01296521213473506,-0.0069673058426845125,-0.01734338340368391,-0.011286927929812618,0.0051880387804996986,0.00080986751155084913,0.0016782842049224422,0.0029989366132079087,-0.0021891021672917899
ORN,40,883,1343,409,-0.0053010749055239503,0.0078776171785918114,-0.01530990378972924,-0.0012017962658151804,0.011593760484160526,0.001584931599955236,0.0040992786397087699,0.0065888524487995592,-0.0050049080353609665
ORN,60,883,1343,409,9.4772999131020885e-05,0.016463003582794455,-0.012891841709207263,0.0054443704319114827,0.014677422646000859,0.0016908079376625751,0.0053495974327804618,0.0081545790380003758,-0.0065228436080004837
ORN,100,883,1343,409,0.0040269657993221575,0.022249392532838586,-0.011302595886064637,0.0099194349653670133,0.016775994209451611,0.0014464325240648168,0.0058924691660448558,0.00909485165723109,-0.0076811425522205212
ORN,160,883,1343,409,0.0043995372908183783,0.023052768938983448,-0.011576901240640869,0.010303435522017068,0.017314835089812158,0.0013383965583529112,0.0059038982311986898,0.0093166780613641309,-0.0079981570284480275
ORN,220,883,1343,409,0.0045004827485748411,0.023191448421842176,-0.011548374029156094,0.010393764351557311,0.017369911225499135,0.0013210544477681996,0.0058932816029824697,0.0093380494015087023,-0.0080318618239904327
ORN,320,883,1343,409,0.0045091930602427222,0.02319000092749901,-0.011547626878192607,0.010397785748860744,0.017368813902845809,0.0013119939644104794,0.0058885926886180218,0.0093391375103100138,-0.008029676392535795
ORN,335,883,1343,409,0.0045004607885392178,0.023179461306768623,-0.011554850252105453,0.010390695651420256,0.017367155779437038,0.0013118447387923671,0.0058902348628810386,0.0093384905243504013,-0.0080286652550866366
ALPN,0,343,343,0,-0.071359228827307053,-0.071359228827307053,-0.071359228827307053,-0.071359228827307053,0,0,0,0,0
ALPN,1,343,343,0,-0.068883739746297579,-0.068883739746297579,-0.068883739746297579,-0.068883739746297579,0,0,0,0,0
ALPN,20,343,343,0,-0.040352282634450898,-0.040355018328368186,-0.04034075665468706,-0.04034483389422161,-7.1308368405631484e-06,4.3951429232746975e-06,7.4487402292877647e-06,-7.8082538635393384e-06,-6.7741702297619e-07
ALPN,40,343,343,0,-0.041368383455600011,-0.041129196382972077,-0.040897810763590559,-0.040720145774590155,-0.00011569280969075946,0.00035487988231869272,0.00064823768100985557,-0.00011820568888154526,-2.5128791907857995e-06
ALPN,60,343,343,0,-0.049598481045622478,-0.048643174600790262,-0.048185139200523253,-0.047512074358914358,-0.00022901770013350475,0.0011843241449657205,0.0020864066867081199,-0.00021224021196597498,1.6777488167529775e-05
ALPN,100,343,343,0,-0.051384231589889362,-0.049651258818435351,-0.048195980053021725,-0.04746109939532217,-0.00072763938270681283,0.0024606121541608239,0.0039231321945671915,-0.00066157497403568355,6.6064408671129282e-05
ALPN,160,343,343,0,-0.044555265668166699,-0.042616509542492409,-0.040292636890398748,-0.039611423705823712,-0.0011619363260468307,0.003100692451721121,0.0049438419623429875,-0.0011731939861406304,-1.1257660093799693e-05
ALPN,220,343,343,0,-0.045275553158179771,-0.043692283378080288,-0.041212801123666098,-0.040862057149161135,-0.0012397411272070946,0.0028230109073065779,0.0044134960090186359,-0.0012045997018479415,3.51414253591531e-05
ALPN,320,343,343,0,-0.042548064922961593,-0.040598004039614777,-0.038316980269221146,-0.037468795631088958,-0.0011405118851968155,0.0030905727685436313,0.0050792692918726345,-0.0011831462509154234,-4.2634365718607903e-05
ALPN,335,343,343,0,-0.041955914086602042,-0.039540629112028491,-0.037302641705549755,-0.036400715353123947,-0.0011189937032393682,0.0035342786778129187,0.005555198733478095,-0.0011662572226179835,-4.7263519378615282e-05
ALLN,0,210,208,2,-0.045204987508380534,-0.045204987508380534,-0.045204987508380534,-0.045204987508380534,0,0,0,0,0
ALLN,1,210,208,2,-0.043543562044956463,-0.043543562044956463,-0.043543562044956463,-0.043543562044956463,0,0,0,0,0
ALLN,20,210,208,2,-0.022436170633192587,-0.022433360770672817,-0.022401551341276194,-0.022399120404784645,-1.5904714698311562e-05,1.8714577218081896e-05,3.7050228407942143e-05,1.8013883885115156e-06,1.7706103086823077e-05
ALLN,40,210,208,2,-0.012050320790979341,-0.011270912689520518,-0.011834862422959724,-0.011204265368397359,0.00028197486671960315,0.00049743323473921963,0.00084605542258198163,0.00045072600664924911,0.00016875113992964597
ALLN,60,210,208,2,-0.0076635843871328824,-0.0067016410480977839,-0.0074401164185594615,-0.006767339748377732,0.00036923768523083877,0.00059270565380425966,0.00089624463875515037,0.00067839916801537559,0.00030916148278453681
ALLN,100,210,208,2,-0.0046324443342462551,-0.0045089918309382249,-0.0046468809255538757,-0.004839068780799094,6.8944547307825399e-05,5.450795600020486e-05,-0.00020662444655283885,0.00045369029063874189,0.00038474574333091649
ALLN,160,210,208,2,-0.0049834861910530437,-0.0053583400515282431,-0.0051558571518827145,-0.0057862391245545597,-0.00010124144982276428,-0.00027361241065243513,-0.000802752933501516,0.00025306365809951714,0.00035430510792228143
ALLN,220,210,208,2,-0.0044268700754591661,-0.0048998081662028348,-0.0046809224666795046,-0.0053611002710539646,-0.00010944284976166507,-0.00036349524098200359,-0.00093423019559479847,0.00025365582950959142,0.0003630986792712565
ALLN,320,210,208,2,-0.004432024670819934,-0.0048661479075452485,-0.0045674899905722155,-0.0052827829405099891,-0.00014932895848651651,-0.00028479427823879799,-0.00085075826969005508,0.00021925259279931275,0.00036858155128582926
ALLN,335,210,208,2,-0.004124319279559252,-0.0045793975800572095,-0.0042829917405418083,-0.0050093924587051308,-0.00014820291975770061,-0.00030687538074025689,-0.0008850731791458788,0.00021997620131386508,0.0003681791210715657
LH_type_prefix,0,1017,1011,0,-0.030535433544948809,-0.030535433544948809,-0.030535433544948809,-0.030535433544948809,0,0,0,0,0
LH_type_prefix,1,1017,1011,0,-0.029727497527882396,-0.029727497527882396,-0.029727497527882396,-0.029727497527882396,0,0,0,0,0
LH_type_prefix,20,1017,1011,0,-0.020436223169834289,-0.020434103246607604,-0.020431178269285255,-0.020429185563845986,-1.4624886611747101e-06,3.5824118878591271e-06,7.0376059883026088e-06,-1.4101541916111682e-06,5.233446956354193e-08
LH_type_prefix,40,1017,1011,0,-0.021232277325933913,-0.021090887526630908,-0.02093053606384282,-0.020802857602364111,-8.0175731394044325e-05,0.00022156553069704876,0.00042941972356980163,-8.5534661949132618e-05,-5.3589305550882926e-06
LH_type_prefix,60,1017,1011,0,-0.030607116904942944,-0.030567703597257245,-0.03045219961512946,-0.030098314525399239,-5.7751991063892394e-05,9.7165298749590789e-05,0.00050880237954370466,-8.4300896504019285e-05,-2.6548905440126891e-05
LH_type_prefix,100,1017,1011,0,-0.036966779710712439,-0.035719466534343103,-0.036820051567179046,-0.036184749882777034,0.00055029251641797172,0.00069702065995136397,0.00078202982793540432,0.00049979404807495853,-5.0498468343013192e-05
LH_type_prefix,160,1017,1011,0,-0.038917282860442159,-0.037049718319035585,-0.036806443433728575,-0.035948645885040265,-0.00012163744265350496,0.0019892019840600794,0.0029686369754018949,-0.00020799907972354759,-8.6361637070042629e-05
LH_type_prefix,220,1017,1011,0,-0.035621349701473681,-0.033621616622008521,-0.033850447197838029,-0.0332197588824929,0.00011441528791475419,0.001885317791550406,0.0024015908189807811,-9.2219521851677477e-05,-0.00020663480976643167
LH_type_prefix,320,1017,1011,0,-0.031023998205154224,-0.028620848637918916,-0.029648634768999704,-0.029088225794235922,0.00051389306554039393,0.0018892565016949137,0.0019357724109183017,0.00062888614948233834,0.00011499308394194441
LH_type_prefix,335,1017,1011,0,-0.03043123186408675,-0.027373482708333008,-0.028111657652469813,-0.027385631835990076,0.00036908747206840231,0.0026886616836853394,0.0030456000280966733,0.00061280856346959678,0.00024372109140119447
MBON,0,48,49,0,0.011548662860879855,0.011548662860879855,0.011548662860879855,0.011548662860879855,0,0,0,0,0
MBON,1,48,49,0,0.0083775857325963932,0.0083775857325963932,0.0083775857325963932,0.0083775857325963932,0,0,0,0,0
MBON,20,48,49,0,0.0024540814534836919,0.002454088419648226,0.002453985210553622,0.002453990226943259,5.160454730201991e-08,-4.4638382767914209e-08,-9.1226540432920444e-08,1.2473294008774616e-08,-3.9131253293245294e-08
MBON,40,48,49,0,-0.032195482929389674,-0.032171984411887511,-0.032186982911146522,-0.032183030614423291,7.4992496295056554e-06,1.5999267872657263e-05,1.2452314966382438e-05,5.5514338713757994e-06,-1.9478157581298561e-06
MBON,60,48,49,0,-0.033660314396413149,-0.033506071163789231,-0.03347755062078217,-0.033310407079862436,-1.4260271503530042e-05,0.00016850350412744852,0.00034990731655071272,-4.8615157594356084e-05,-3.4354886090826042e-05
MBON,100,48,49,0,-0.043203063492061045,-0.043296116673918084,-0.042743832961580686,-0.042785005747465799,-0.00027614185616869902,0.00018308867431165998,0.00041805774459524603,-0.00033338819529671326,-5.7246339128014245e-05
MBON,160,48,49,0,0.0017557084194168571,0.0010175332469319898,0.00014362988909044638,0.00011138418383827009,0.00043695167892077169,-0.001175126851405639,-0.001644324235578587,0.00022943460693769513,-0.00020751707198307656
MBON,220,48,49,0,0.0041390830125037636,0.0043862643404735113,0.0030454177318016695,0.0010910500807346235,0.0006704233043359209,-0.00042324197636617322,-0.0030480329317691401,0.00014200058936048032,-0.00052842271497544058
MBON,320,48,49,0,0.012222614451118607,0.007239509569776148,0.00023342362931899618,0.00071964067527863218,0.0035030429702285759,-0.0084861478515710353,-0.011502973775839975,0.0017338503831410557,-0.0017691925870875203
MBON,335,48,49,0,0.023951683538553259,0.022113291957832071,0.011524715237394623,0.0094568418819420685,0.0052942883602187241,-0.0071326799409399122,-0.01449484165661119,0.0049559503657817805,-0.00033833799443694357
CX,0,1479,1471,0,0.0074656450558903131,0.0074656450558903131,0.0074656450558903131,0.0074656450558903131,0,0,0,0,0
CX,1,1479,1471,0,0.0070649026326423253,0.0070649026326423253,0.0070649026326423253,0.0070649026326423253,0,0,0,0,0
CX,20,1479,1471,0,0.001377991586159949,0.0013778976517523911,0.0013779141125191408,0.0013778170933059497,-8.2303833748298416e-09,-8.570402418306422e-08,-1.7449285399928627e-07,2.1700997526741261e-09,1.0400483127503968e-08
CX,40,1479,1471,0,-0.004422641498677507,-0.004424806904977166,-0.0044254236658887031,-0.0044278193801185334,3.0838045576853101e-07,-2.4737867554275317e-06,-5.1778814410263774e-06,1.472919935817385e-06,1.164539480048854e-06
CX,60,1479,1471,0,-0.0016059440945281334,-0.0015781276259653615,-0.0015948932042198632,-0.0015644508602388058,8.3827891272508781e-06,1.943367943552099e-05,4.1493234289327607e-05,2.6920610961350677e-05,1.8537821834099799e-05
CX,100,1479,1471,0,-0.012702861309732943,-0.012851069168345164,-0.012835345066102705,-0.012960474190147425,-7.8620511212296185e-06,-0.00014034580749099079,-0.00025761288041448172,1.9843135202105011e-05,2.770518632333463e-05
CX,160,1479,1471,0,0.039969070953871727,0.040054036409496702,0.040005265741365564,0.039965245623945767,2.4385334065568642e-05,6.0580121559405953e-05,-3.8253299259605189e-06,-0.00015108128294658019,-0.00017546661701214883
CX,220,1479,1471,0,0.070352098115870176,0.071970662485273784,0.071966552512585769,0.072221614584519839,2.0549863440078031e-06,0.0016165093830596,0.0018695164686496624,-0.00058902231522406368,-0.00059107730156807148
CX,320,1479,1471,0,0.065960570544206787,0.065365054618681862,0.064571699215246553,0.065327517064511675,0.00039667770171765426,-0.00099219362724257965,-0.0006330534796951115,-0.0003210925000275977,-0.00071777020174525197
CX,335,1479,1471,0,0.051041092120244935,0.049941389722812146,0.049687421364916717,0.050571732599219432,0.00012698417894771441,-0.0012266865763805035,-0.00046935952102550305,4.9243560327122404e-05,-7.7740618620592006e-05
LAL_type_prefix,0,333,332,0,-0.027029007496567517,-0.027029007496567517,-0.027029007496567517,-0.027029007496567517,0,0,0,0,0
LAL_type_prefix,1,333,332,0,-0.028144909077557248,-0.028144909077557248,-0.028144909077557248,-0.028144909077557248,0,0,0,0,0
LAL_type_prefix,20,333,332,0,-0.05005130029568125,-0.050051251781818656,-0.050051291168770218,-0.050051243432339632,1.9693475780679925e-08,2.8820386813177556e-08,5.6863341618695884e-08,2.068410760724948e-08,9.9063182656955462e-10
