grupo,ids,n,baseline_sham,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro,primer_impar_negativo_3muestras_ms,R_sham_entrada_L,R_sham_entrada_R
CB0431|L,57832,1,869.5917775716722,-0.8061076585926542,65.58442497717002,68.49871311656207,-33.19526631788134,32.389158659288675,-2.9142881393920668,-69.30482077515474,3.7203957979847204,26,65.58442497717,0.0
SAD085|R,47107,1,578.6920308747759,-32.88626571715156,-2.039369548569365,-45.649704687917435,-15.423448084291103,-17.462817632860475,43.61033513934807,12.763438970765863,-10.7240694221965,202,-2.039369548569369,0.0
PLP228|L,513388,1,-208.19391588686594,-0.37524763386747706,22.811404633268666,22.69032495467563,-11.59332613356807,11.218078499700594,0.12107967859302887,-23.065572588543105,0.25416795527444697,83,0.0,-22.81140463326866
IB068|R,20804,1,175.63651431431302,13.692595680098934,32.4554280328363,40.92283145572439,-9.381416176368683,23.074011856467614,-8.467403422888102,-27.230235775625466,-5.225192257210833,16,32.4554280328363,0.0
PS018_a|L,51658,1,245.12866317013604,14.14689681095244,30.220236477214616,33.00166123246176,-8.036669833131088,22.183566644083527,-2.781424755247138,-18.854764421509316,-11.3654720557053,207,30.220236477214616,0.0
PS013|L,11306,1,1719.7120109204757,-15.70184189816427,-2.3071107982105583,-3.7400702477911563,-6.697365549976854,-9.004476348187406,1.432959449580598,-11.96177165037311,14.268882448583671,26,-2.3071107982105565,0.0
SAD085|L,14766,1,-10.702744152973327,-15.2319400731014,-6.1630912316511655,-11.597058305691187,-4.534424420725116,-10.697515652376282,5.433967074040021,-3.63488176741021,9.797972999061377,268,0.0,6.1630912316511655
CB0677|R,10215,1,-140.93982496573773,-15.829686619170323,-8.370407258881736,-12.734339144286023,-3.7296396801442935,-12.10004693902603,4.363931885404289,-3.0953474748842975,11.46575473376603,16,-8.370407258881734,0.0
PS049|R,29860,1,2004.0429924915372,0.35269032727209504,7.651112686796244,18.197163385761655,-3.6492111797620734,4.001901507034173,-10.546050698965413,-17.844473058489562,10.193360371693316,26,0.0,-7.65111268679625
PLP009|L,39510;519412;524317,3,-183.69910316273396,0.8546121114938147,8.005641082934398,8.3533547431317,-3.575514485720291,4.430126597214106,-0.34771366019730254,-7.498742631637885,-0.506898451296512,208,8.005641082934398,0.0
PLP228|R,530153,1,152.43993112193476,6.285075745680556,12.696923508480056,7.420903546252744,-3.2059238813997495,9.490999627080308,5.276019962227311,-1.135827800572187,-11.56109570790787,16,12.696923508480062,0.0
PLP012|R,13009,1,-93.79873201982045,-9.599234952427734,-4.129529763649887,-7.910430174012487,-2.734852594388924,-6.86438235803881,3.7809004103625976,-1.6888047784152491,5.818334542065137,116,0.0,4.129529763649887
