brazo,h_ms,politica,decisiones_fuente_ventana,decisiones_fuente_fallidas,fraccion_aristas_DN_candidatas_media,max_error_s_muestreado,max_error_entrada_DN,max_error_balance_DN,cota_entrada_muestreada
odor_left,1,s_baja,200384,7332,0.6127758318739054,0.010066507102422283,7.458027793424242,8.178008383167278,10.614356771986836
odor_left,1,historia_casi_constante,238429,895,0.7236865148861646,0.0050385125600581615,2.2968024041397808,2.283891721363742,3.2393813460467125
odor_left,5,s_baja,40077,2794,0.6128283712784587,0.09025644141256016,61.9244146762577,55.7333636164201,79.18378197704743
odor_left,5,historia_casi_constante,43546,435,0.6616608289550497,0.026827571086182316,20.18037236674217,22.08640623133465,20.791731212046983
odor_left,10,s_baja,20028,1736,0.6125218914185638,0.24532204564615534,75.29132258469326,84.34066395666068,130.98538766153777
odor_left,10,historia_casi_constante,20666,361,0.6288091068301226,0.09833196811346556,68.73555593073097,82.75763877116997,84.6476272985418
odor_left,25,s_baja,8020,922,0.6132516053706947,0.6019494000839112,597.8578898148867,754.1060864622447,979.767683714219
odor_left,25,historia_casi_constante,7550,239,0.5753794512551079,0.49359997037561704,135.14226338882406,164.94773450835743,214.97560631035117
odor_right,1,s_baja,200401,7369,0.6129071803852889,0.009886278662243732,7.333497645053468,8.296665386262028,9.481928673263445
odor_right,1,historia_casi_constante,238524,882,0.7240367775831874,0.002439969061617253,2.7814697092644245,2.7640534018517067,3.7536360678926255
odor_right,5,s_baja,40083,2818,0.6129889083479276,0.08747900569129043,60.92873311161189,56.04663384022509,79.25684432890625
odor_right,5,historia_casi_constante,43553,428,0.6618505545826037,0.03234048923980406,20.70041124690931,22.64155896637505,21.315822596927564
odor_right,10,s_baja,20027,1744,0.6125802685347345,0.17285180709899226,87.12594580611186,94.01854728431553,171.2247907434356
odor_right,10,historia_casi_constante,20648,360,0.6283129013426737,0.1391463288031431,68.28874428874197,69.17138180183032,85.51464900424462
odor_right,25,s_baja,8025,929,0.61361646234676,0.5974127130280915,547.0360362606707,701.9217869460801,1020.5533572395306
odor_right,25,historia_casi_constante,7545,237,0.5749416228838296,0.46510175749894456,133.2542783910695,130.122514112081,207.89681343340743
uniform,1,s_baja,200428,7295,0.6129597197898423,0.010515537746608444,9.746424440514051,10.143015734552309,12.900194446626347
uniform,1,historia_casi_constante,238583,868,0.7241622883829539,0.002581233664870869,1.530806445669073,1.7779132961534583,1.905690713252283
uniform,5,s_baja,40091,2800,0.6130910683012257,0.09100596739710046,60.943676139802335,71.65242681444018,84.98366459922612
uniform,5,historia_casi_constante,43562,429,0.6618651488616464,0.02925297537836682,12.84116867362466,13.330885244453025,13.348901932556764
uniform,10,s_baja,20037,1742,0.6128137769994162,0.2459761272852908,134.15593879967554,148.25416969456398,262.9810233906287
uniform,10,historia_casi_constante,20660,355,0.6286339754816112,0.13647032666609935,68.4193359168673,80.84763435143151,85.52047842012763
uniform,25,s_baja,8029,927,0.6139083479276123,0.5977689611599227,587.7607508937634,749.309689288463,1155.1796892495793
uniform,25,historia_casi_constante,7556,238,0.5758902510215994,0.4611148245119438,135.74635183077777,165.79178655157335,175.4429507509521
sham,1,s_baja,200809,7508,0.6140659661412726,0.00991438553355871,7.805062119488618,9.559404702725358,9.720613575997222
sham,1,historia_casi_constante,238779,887,0.7246672504378283,0.0037361226828039884,1.9591692350771295,1.897758136967154,2.4110431681370392
sham,5,s_baja,40169,2870,0.6142440163455926,0.08952234156103024,63.76070353504168,80.12651194512037,80.59731181366998
sham,5,historia_casi_constante,43568,441,0.6620840630472854,0.026657712811432997,19.292456650041263,21.03582232399345,19.90793580205707
sham,10,s_baja,20075,1773,0.6140396964389958,0.23398169203448185,78.86682264866756,90.26310212240904,169.64351267824642
sham,10,historia_casi_constante,20675,353,0.6292469352014011,0.10681858579262284,70.91253336831548,88.88478510078448,86.32170537764749
sham,25,s_baja,8035,936,0.6145650904845301,0.6063753334423211,571.9995643808329,732.8947534475209,1024.5261633274883
sham,25,historia_casi_constante,7544,235,0.5749416228838296,0.47835933267757813,138.7172972215021,128.72563688055433,212.2339038765913
