bodyId,type,instance,somaSide,rootSide,node_index,matrix_node_index,row_index,prepared_model_hz,identity_final_model_hz,equal_final_model_hz,identity_minus_equal_model_hz,used_by_actuator
10442,DNa01,DNa01(VES006)_L,L,,406,406,406,0.0,0.0,0.0,0.0,False
10760,DNa01,DNa01(VES006)_R,R,,704,704,704,6.6024088859558105,6.698992729187012,6.683743953704834,0.015248775482177734,False
10360,DNa02,DNa02_R,R,,332,332,332,0.0,0.0,0.0,0.0,False
523769,DNa02,DNa02_L,L,,131957,131957,131957,0.0,0.0,0.0,0.0,False
10975,DNa03,DNa03_R,R,,902,902,902,0.0,0.0,0.0,0.0,False
519624,DNa03,DNa03_L,L,,130282,130282,130282,0.0,0.0,0.0,0.0,False
10971,DNa11,DNa11(VES008)_L,L,,898,898,898,0.0,0.0,0.0,0.0,False
11233,DNa11,DNa11(VES008)_R,R,,1142,1142,1142,0.0,0.0,0.0,0.0,False
10805,DNb02,DNb02_R,R,,746,746,746,0.6851550340652466,0.5075109601020813,0.5024347305297852,0.005076229572296143,False
12767,DNb02,DNb02_L,L,,2588,2588,2588,0.0,0.0,0.0,0.0,False
13922,DNb02,DNb02_R,R,,3654,3654,3654,5.435494899749756,5.2321672439575195,5.2218780517578125,0.010289192199707031,False
529488,DNb02,DNb02_L,L,,133997,133997,133997,1.3565970433128554e-40,0.0,0.0,0.0,False
10065,DNb05,DNb05_R,R,,52,52,52,149.43804931640625,149.47291564941406,149.45944213867188,0.0134735107421875,True
10118,DNb05,DNb05_L,L,,104,104,104,139.74473571777344,139.76849365234375,139.7717742919922,-0.0032806396484375,True
11074,DNg13,DNg13_L,L,,993,993,993,0.0,0.0,0.0,0.0,False
512006,DNg13,DNg13_R,R,,125880,125880,125880,0.0,0.0,0.0,0.0,False
10045,DNg100,DNg100_L,L,,36,36,36,0.0,0.0,0.0,0.0,True
10056,DNg100,DNg100_R,R,,46,46,46,0.0,0.0,0.0,0.0,True
10783,DNp09,DNp09_L,L,,725,725,725,0.0,0.0,0.0,0.0,False
11177,DNp09,DNp09_R,R,,1087,1087,1087,0.0,0.0,0.0,0.0,False
14674,LAL013,LAL013_R,R,,4323,4323,4323,0.0,0.0,0.0,0.0,False
512258,LAL013,LAL013_L,L,,126008,126008,126008,0.0,0.0,0.0,0.0,False
